user,contributions,repositories,primary_language,monthly_contributions,contribution_types
hugorochaffs,342,41,Python,"{'2017-01': 0, '2017-02': 0, '2017-03': 0, '2017-04': 0, '2017-05': 0, '2017-06': 0, '2017-07': 0, '2017-08': 0, '2017-09': 0, '2017-10': 0, '2017-11': 0, '2017-12': 0, '2018-01': 0, '2018-02': 0, '2018-03': 0, '2018-04': 0, '2018-05': 0, '2018-06': 0, '2018-07': 0, '2018-08': 0, '2018-09': 0, '2018-10': 0, '2018-11': 0, '2018-12': 0, '2019-01': 0, '2019-02': 0, '2019-03': 0, '2019-04': 0, '2019-05': 0, '2019-06': 0, '2019-07': 0, '2019-08': 1, '2019-09': 0, '2019-10': 0, '2019-11': 7, '2019-12': 1, '2020-01': 0, '2020-02': 0, '2020-03': 0, '2020-04': 0, '2020-05': 0, '2020-06': 0, '2020-07': 0, '2020-08': 0, '2020-09': 2, '2020-10': 0, '2020-11': 53, '2020-12': 21, '2021-01': 1, '2021-02': 23, '2021-03': 19, '2021-04': 3, '2021-05': 11, '2021-06': 0, '2021-07': 14, '2021-08': 0, '2021-09': 0, '2021-10': 0, '2021-11': 0, '2021-12': 0, '2022-01': 9, '2022-02': 0, '2022-03': 1, '2022-04': 0, '2022-05': 0, '2022-06': 17, '2022-07': 17, '2022-08': 25, '2022-09': 5, '2022-10': 0, '2022-11': 0, '2022-12': 0, '2023-01': 0, '2023-02': 0, '2023-03': 0, '2023-04': 8, '2023-05': 27, '2023-06': 9, '2023-07': 6, '2023-08': 0, '2023-09': 4, '2023-10': 0, '2023-11': 3, '2023-12': 21, '2024-01': 1, '2024-02': 0, '2024-03': 0, '2024-04': 10, '2024-05': 0, '2024-06': 0, '2024-07': 15, '2024-08': 8, '2024-09': 0}","{'commits': 253, 'pull_requests': 49, 'issues': 3, 'reviews': 7}"
kunifu,1279,7,Python,"{'2017-01': 0, '2017-02': 0, '2017-03': 0, '2017-04': 0, '2017-05': 0, '2017-06': 0, '2017-07': 0, '2017-08': 0, '2017-09': 0, '2017-10': 0, '2017-11': 0, '2017-12': 0, '2018-01': 0, '2018-02': 0, '2018-03': 0, '2018-04': 0, '2018-05': 0, '2018-06': 0, '2018-07': 0, '2018-08': 0, '2018-09': 0, '2018-10': 0, '2018-11': 0, '2018-12': 0, '2019-01': 0, '2019-02': 0, '2019-03': 0, '2019-04': 0, '2019-05': 0, '2019-06': 0, '2019-07': 0, '2019-08': 0, '2019-09': 0, '2019-10': 0, '2019-11': 0, '2019-12': 0, '2020-01': 0, '2020-02': 0, '2020-03': 0, '2020-04': 0, '2020-05': 0, '2020-06': 0, '2020-07': 0, '2020-08': 1, '2020-09': 23, '2020-10': 5, '2020-11': 2, '2020-12': 8, '2021-01': 0, '2021-02': 1, '2021-03': 0, '2021-04': 61, '2021-05': 58, '2021-06': 132, '2021-07': 43, '2021-08': 25, '2021-09': 35, '2021-10': 35, '2021-11': 36, '2021-12': 97, '2022-01': 4, '2022-02': 39, '2022-03': 53, '2022-04': 16, '2022-05': 94, '2022-06': 64, '2022-07': 31, '2022-08': 36, '2022-09': 24, '2022-10': 13, '2022-11': 2, '2022-12': 0, '2023-01': 2, '2023-02': 0, '2023-03': 7, '2023-04': 0, '2023-05': 19, '2023-06': 137, '2023-07': 61, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 36, '2023-12': 0, '2024-01': 7, '2024-02': 64, '2024-03': 0, '2024-04': 8, '2024-05': 0, '2024-06': 0, '2024-07': 0, '2024-08': 0, '2024-09': 0}","{'commits': 20, 'pull_requests': 13, 'issues': 3, 'reviews': 0}"
Victor-oss,397,31,Python,"{'2017-01': 0, '2017-02': 0, '2017-03': 0, '2017-04': 0, '2017-05': 0, '2017-06': 0, '2017-07': 0, '2017-08': 0, '2017-09': 0, '2017-10': 0, '2017-11': 0, '2017-12': 0, '2018-01': 0, '2018-02': 0, '2018-03': 0, '2018-04': 0, '2018-05': 0, '2018-06': 0, '2018-07': 0, '2018-08': 0, '2018-09': 0, '2018-10': 0, '2018-11': 0, '2018-12': 0, '2019-01': 0, '2019-02': 0, '2019-03': 0, '2019-04': 0, '2019-05': 0, '2019-06': 0, '2019-07': 0, '2019-08': 0, '2019-09': 1, '2019-10': 0, '2019-11': 0, '2019-12': 0, '2020-01': 0, '2020-02': 1, '2020-03': 0, '2020-04': 0, '2020-05': 0, '2020-06': 0, '2020-07': 0, '2020-08': 0, '2020-09': 0, '2020-10': 0, '2020-11': 0, '2020-12': 0, '2021-01': 0, '2021-02': 0, '2021-03': 0, '2021-04': 0, '2021-05': 0, '2021-06': 0, '2021-07': 0, '2021-08': 0, '2021-09': 0, '2021-10': 4, '2021-11': 4, '2021-12': 0, '2022-01': 0, '2022-02': 4, '2022-03': 8, '2022-04': 4, '2022-05': 0, '2022-06': 27, '2022-07': 4, '2022-08': 5, '2022-09': 18, '2022-10': 0, '2022-11': 22, '2022-12': 28, '2023-01': 46, '2023-02': 15, '2023-03': 3, '2023-04': 0, '2023-05': 5, '2023-06': 1, '2023-07': 12, '2023-08': 22, '2023-09': 25, '2023-10': 30, '2023-11': 58, '2023-12': 27, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 22, '2024-05': 1, '2024-06': 0, '2024-07': 0, '2024-08': 0, '2024-09': 0}","{'commits': 258, 'pull_requests': 51, 'issues': 55, 'reviews': 8}"
rodmaia,242,2,JavaScript,"{'2017-01': 0, '2017-02': 0, '2017-03': 0, '2017-04': 0, '2017-05': 0, '2017-06': 0, '2017-07': 0, '2017-08': 0, '2017-09': 0, '2017-10': 1, '2017-11': 0, '2017-12': 0, '2018-01': 0, '2018-02': 1, '2018-03': 12, '2018-04': 1, '2018-05': 15, '2018-06': 13, '2018-07': 12, '2018-08': 7, '2018-09': 37, '2018-10': 20, '2018-11': 3, '2018-12': 0, '2019-01': 0, '2019-02': 3, '2019-03': 9, '2019-04': 10, '2019-05': 5, '2019-06': 33, '2019-07': 9, '2019-08': 10, '2019-09': 19, '2019-10': 0, '2019-11': 0, '2019-12': 0, '2020-01': 0, '2020-02': 0, '2020-03': 0, '2020-04': 0, '2020-05': 0, '2020-06': 0, '2020-07': 0, '2020-08': 0, '2020-09': 0, '2020-10': 0, '2020-11': 0, '2020-12': 0, '2021-01': 0, '2021-02': 18, '2021-03': 3, '2021-04': 0, '2021-05': 0, '2021-06': 0, '2021-07': 0, '2021-08': 0, '2021-09': 0, '2021-10': 0, '2021-11': 0, '2021-12': 0, '2022-01': 0, '2022-02': 0, '2022-03': 0, '2022-04': 0, '2022-05': 0, '2022-06': 0, '2022-07': 0, '2022-08': 0, '2022-09': 0, '2022-10': 0, '2022-11': 0, '2022-12': 0, '2023-01': 0, '2023-02': 0, '2023-03': 0, '2023-04': 0, '2023-05': 0, '2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0, '2024-07': 0, '2024-08': 0, '2024-09': 1}","{'commits': 7, 'pull_requests': 16, 'issues': 207, 'reviews': 9}"
cmckni3,2436,219,JavaScript,"{'2017-01': 30, '2017-02': 34, '2017-03': 18, '2017-04': 65, '2017-05': 24, '2017-06': 22, '2017-07': 56, '2017-08': 56, '2017-09': 60, '2017-10': 89, '2017-11': 55, '2017-12': 43, '2018-01': 12, '2018-02': 25, '2018-03': 32, '2018-04': 23, '2018-05': 66, '2018-06': 48, '2018-07': 34, '2018-08': 50, '2018-09': 147, '2018-10': 29, '2018-11': 19, '2018-12': 27, '2019-01': 78, '2019-02': 33, '2019-03': 8, '2019-04': 34, '2019-05': 29, '2019-06': 12, '2019-07': 2, '2019-08': 32, '2019-09': 18, '2019-10': 61, '2019-11': 46, '2019-12': 42, '2020-01': 20, '2020-02': 56, '2020-03': 23, '2020-04': 12, '2020-05': 14, '2020-06': 10, '2020-07': 17, '2020-08': 20, '2020-09': 15, '2020-10': 11, '2020-11': 1, '2020-12': 17, '2021-01': 3, '2021-02': 15, '2021-03': 13, '2021-04': 1, '2021-05': 6, '2021-06': 10, '2021-07': 7, '2021-08': 1, '2021-09': 2, '2021-10': 2, '2021-11': 5, '2021-12': 1, '2022-01': 14, '2022-02': 50, '2022-03': 1, '2022-04': 3, '2022-05': 53, '2022-06': 3, '2022-07': 22, '2022-08': 16, '2022-09': 8, '2022-10': 12, '2022-11': 6, '2022-12': 2, '2023-01': 5, '2023-02': 2, '2023-03': 0, '2023-04': 5, '2023-05': 1, '2023-06': 21, '2023-07': 0, '2023-08': 15, '2023-09': 1, '2023-10': 35, '2023-11': 91, '2023-12': 3, '2024-01': 135, '2024-02': 147, '2024-03': 23, '2024-04': 8, '2024-05': 4, '2024-06': 3, '2024-07': 1, '2024-08': 5, '2024-09': 0}","{'commits': 1266, 'pull_requests': 182, 'issues': 169, 'reviews': 32}"
dhpollack,5782,66,Python,"{'2017-01': 0, '2017-02': 1, '2017-03': 2, '2017-04': 3, '2017-05': 4, '2017-06': 17, '2017-07': 14, '2017-08': 21, '2017-09': 28, '2017-10': 4, '2017-11': 21, '2017-12': 42, '2018-01': 24, '2018-02': 2, '2018-03': 7, '2018-04': 16, '2018-05': 49, '2018-06': 52, '2018-07': 0, '2018-08': 21, '2018-09': 3, '2018-10': 6, '2018-11': 4, '2018-12': 16, '2019-01': 11, '2019-02': 16, '2019-03': 4, '2019-04': 11, '2019-05': 4, '2019-06': 5, '2019-07': 6, '2019-08': 10, '2019-09': 10, '2019-10': 7, '2019-11': 4, '2019-12': 12, '2020-01': 93, '2020-02': 20, '2020-03': 30, '2020-04': 38, '2020-05': 24, '2020-06': 33, '2020-07': 44, '2020-08': 30, '2020-09': 30, '2020-10': 53, '2020-11': 32, '2020-12': 37, '2021-01': 119, '2021-02': 137, '2021-03': 68, '2021-04': 56, '2021-05': 118, '2021-06': 113, '2021-07': 97, '2021-08': 63, '2021-09': 59, '2021-10': 158, '2021-11': 89, '2021-12': 118, '2022-01': 170, '2022-02': 64, '2022-03': 81, '2022-04': 43, '2022-05': 50, '2022-06': 103, '2022-07': 194, '2022-08': 89, '2022-09': 181, '2022-10': 104, '2022-11': 61, '2022-12': 65, '2023-01': 68, '2023-02': 66, '2023-03': 93, '2023-04': 132, '2023-05': 46, '2023-06': 105, '2023-07': 60, '2023-08': 142, '2023-09': 109, '2023-10': 53, '2023-11': 127, '2023-12': 89, '2024-01': 127, '2024-02': 134, '2024-03': 133, '2024-04': 196, '2024-05': 174, '2024-06': 147, '2024-07': 163, '2024-08': 135, '2024-09': 162}","{'commits': 473, 'pull_requests': 95, 'issues': 51, 'reviews': 12}"
Dynnammo,1317,66,Python,"{'2017-01': 0, '2017-02': 0, '2017-03': 0, '2017-04': 0, '2017-05': 0, '2017-06': 0, '2017-07': 0, '2017-08': 0, '2017-09': 0, '2017-10': 1, '2017-11': 0, '2017-12': 0, '2018-01': 0, '2018-02': 1, '2018-03': 0, '2018-04': 0, '2018-05': 3, '2018-06': 0, '2018-07': 1, '2018-08': 0, '2018-09': 0, '2018-10': 0, '2018-11': 4, '2018-12': 6, '2019-01': 2, '2019-02': 0, '2019-03': 5, '2019-04': 7, '2019-05': 0, '2019-06': 20, '2019-07': 10, '2019-08': 4, '2019-09': 0, '2019-10': 0, '2019-11': 0, '2019-12': 0, '2020-01': 0, '2020-02': 0, '2020-03': 0, '2020-04': 0, '2020-05': 10, '2020-06': 0, '2020-07': 12, '2020-08': 14, '2020-09': 23, '2020-10': 24, '2020-11': 13, '2020-12': 1, '2021-01': 4, '2021-02': 0, '2021-03': 3, '2021-04': 5, '2021-05': 0, '2021-06': 50, '2021-07': 25, '2021-08': 3, '2021-09': 7, '2021-10': 5, '2021-11': 31, '2021-12': 2, '2022-01': 4, '2022-02': 9, '2022-03': 10, '2022-04': 88, '2022-05': 42, '2022-06': 43, '2022-07': 17, '2022-08': 41, '2022-09': 95, '2022-10': 100, '2022-11': 29, '2022-12': 175, '2023-01': 49, '2023-02': 7, '2023-03': 64, '2023-04': 39, '2023-05': 66, '2023-06': 46, '2023-07': 2, '2023-08': 22, '2023-09': 23, '2023-10': 4, '2023-11': 28, '2023-12': 11, '2024-01': 5, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0, '2024-07': 0, '2024-08': 0, '2024-09': 2}","{'commits': 532, 'pull_requests': 293, 'issues': 256, 'reviews': 36}"
pablodiegoss,3419,69,Python,"{'2017-01': 100, '2017-02': 38, '2017-03': 43, '2017-04': 71, '2017-05': 80, '2017-06': 88, '2017-07': 55, '2017-08': 12, '2017-09': 31, '2017-10': 108, '2017-11': 86, '2017-12': 64, '2018-01': 0, '2018-02': 0, '2018-03': 28, '2018-04': 103, '2018-05': 118, '2018-06': 147, '2018-07': 131, '2018-08': 152, '2018-09': 133, '2018-10': 138, '2018-11': 81, '2018-12': 54, '2019-01': 56, '2019-02': 28, '2019-03': 63, '2019-04': 101, '2019-05': 191, '2019-06': 130, '2019-07': 87, '2019-08': 15, '2019-09': 64, '2019-10': 58, '2019-11': 24, '2019-12': 35, '2020-01': 39, '2020-02': 46, '2020-03': 13, '2020-04': 48, '2020-05': 1, '2020-06': 0, '2020-07': 3, '2020-08': 7, '2020-09': 27, '2020-10': 64, '2020-11': 51, '2020-12': 42, '2021-01': 10, '2021-02': 22, '2021-03': 14, '2021-04': 0, '2021-05': 0, '2021-06': 45, '2021-07': 28, '2021-08': 10, '2021-09': 1, '2021-10': 33, '2021-11': 0, '2021-12': 0, '2022-01': 3, '2022-02': 0, '2022-03': 24, '2022-04': 0, '2022-05': 0, '2022-06': 3, '2022-07': 9, '2022-08': 4, '2022-09': 0, '2022-10': 64, '2022-11': 0, '2022-12': 6, '2023-01': 8, '2023-02': 6, '2023-03': 1, '2023-04': 2, '2023-05': 0, '2023-06': 5, '2023-07': 0, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 3, '2024-03': 1, '2024-04': 0, '2024-05': 22, '2024-06': 21, '2024-07': 20, '2024-08': 0, '2024-09': 0}","{'commits': 2820, 'pull_requests': 99, 'issues': 137, 'reviews': 61}"
douglasffcastro,2036,27,Python,"{'2017-01': 0, '2017-02': 0, '2017-03': 0, '2017-04': 0, '2017-05': 0, '2017-06': 0, '2017-07': 0, '2017-08': 0, '2017-09': 0, '2017-10': 0, '2017-11': 0, '2017-12': 0, '2018-01': 0, '2018-02': 0, '2018-03': 0, '2018-04': 0, '2018-05': 0, '2018-06': 0, '2018-07': 0, '2018-08': 0, '2018-09': 0, '2018-10': 0, '2018-11': 0, '2018-12': 0, '2019-01': 0, '2019-02': 0, '2019-03': 0, '2019-04': 0, '2019-05': 0, '2019-06': 0, '2019-07': 0, '2019-08': 0, '2019-09': 0, '2019-10': 0, '2019-11': 0, '2019-12': 0, '2020-01': 0, '2020-02': 0, '2020-03': 0, '2020-04': 0, '2020-05': 0, '2020-06': 0, '2020-07': 0, '2020-08': 1, '2020-09': 0, '2020-10': 14, '2020-11': 32, '2020-12': 43, '2021-01': 5, '2021-02': 0, '2021-03': 334, '2021-04': 264, '2021-05': 118, '2021-06': 246, '2021-07': 222, '2021-08': 132, '2021-09': 121, '2021-10': 56, '2021-11': 44, '2021-12': 1, '2022-01': 7, '2022-02': 30, '2022-03': 41, '2022-04': 33, '2022-05': 0, '2022-06': 0, '2022-07': 0, '2022-08': 5, '2022-09': 8, '2022-10': 0, '2022-11': 13, '2022-12': 0, '2023-01': 0, '2023-02': 0, '2023-03': 0, '2023-04': 2, '2023-05': 36, '2023-06': 14, '2023-07': 12, '2023-08': 0, '2023-09': 34, '2023-10': 19, '2023-11': 7, '2023-12': 20, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 59, '2024-06': 52, '2024-07': 11, '2024-08': 0, '2024-09': 0}","{'commits': 1245, 'pull_requests': 91, 'issues': 100, 'reviews': 15}"
rafaelbrg,295,17,Python,"{'2017-01': 0, '2017-02': 0, '2017-03': 8, '2017-04': 14, '2017-05': 4, '2017-06': 29, '2017-07': 0, '2017-08': 0, '2017-09': 1, '2017-10': 5, '2017-11': 0, '2017-12': 3, '2018-01': 0, '2018-02': 0, '2018-03': 33, '2018-04': 23, '2018-05': 36, '2018-06': 30, '2018-07': 0, '2018-08': 0, '2018-09': 2, '2018-10': 4, '2018-11': 5, '2018-12': 0, '2019-01': 0, '2019-02': 0, '2019-03': 2, '2019-04': 6, '2019-05': 5, '2019-06': 0, '2019-07': 0, '2019-08': 35, '2019-09': 11, '2019-10': 11, '2019-11': 28, '2019-12': 0, '2020-01': 0, '2020-02': 0, '2020-03': 0, '2020-04': 0, '2020-05': 0, '2020-06': 0, '2020-07': 0, '2020-08': 0, '2020-09': 0, '2020-10': 0, '2020-11': 0, '2020-12': 0, '2021-01': 0, '2021-02': 0, '2021-03': 0, '2021-04': 0, '2021-05': 0, '2021-06': 0, '2021-07': 0, '2021-08': 0, '2021-09': 0, '2021-10': 0, '2021-11': 0, '2021-12': 0, '2022-01': 0, '2022-02': 0, '2022-03': 0, '2022-04': 0, '2022-05': 0, '2022-06': 0, '2022-07': 0, '2022-08': 0, '2022-09': 0, '2022-10': 0, '2022-11': 0, '2022-12': 0, '2023-01': 0, '2023-02': 0, '2023-03': 0, '2023-04': 0, '2023-05': 0, '2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0, '2024-07': 0, '2024-08': 0, '2024-09': 0}","{'commits': 234, 'pull_requests': 24, 'issues': 31, 'reviews': 1}"
