org,repo,user,commits,commit_history,pull_requests,issues,reviews,languages
lappis-unb,lappis_vimrc,seocam,32,"{'2015-09': 8, '2015-07': 1, '2015-06': 1, '2015-05': 1, '2015-04': 9, '2015-01': 1, '2014-07': 1, '2014-01': 2, '2013-11': 4, '2012-02': 4}",0,0,0,"Vim Script, Python, Shell, Makefile, Ruby"
lappis-unb,lappis_vimrc,rodrigosiqueira,26,"{'2015-11': 3, '2015-10': 11, '2015-09': 5, '2015-05': 3, '2015-01': 4}",0,0,0,"Vim Script, Python, Shell, Makefile, Ruby"
lappis-unb,lappis_vimrc,chocoelho,15,"{'2015-10': 8, '2015-01': 7}",0,0,0,"Vim Script, Python, Shell, Makefile, Ruby"
lappis-unb,chef-lappis,paulohtfs,33,"{'2016-12': 1, '2016-11': 7, '2016-10': 11, '2016-09': 6, '2016-08': 8}",0,0,0,"Ruby, Shell, HTML"
lappis-unb,chef-lappis,MatheusMiranda,25,"{'2017-11': 1, '2017-07': 2, '2017-03': 5, '2017-05': 1, '2017-04': 2, '2017-01': 14}",0,11,0,"Ruby, Shell, HTML"
lappis-unb,chef-lappis,ArthurJahn,8,"{'2016-10': 2, '2016-09': 4, '2016-08': 2}",0,0,0,"Ruby, Shell, HTML"
lappis-unb,chef-lappis,knelasevero,7,"{'2016-08': 1, '2016-07': 6}",0,0,0,"Ruby, Shell, HTML"
lappis-unb,chef-lappis,MaxAlmeida,7,"{'2016-04': 6, '2016-03': 1}",0,0,0,"Ruby, Shell, HTML"
lappis-unb,chef-lappis,jessicacris,4,{'2016-04': 4},0,0,0,"Ruby, Shell, HTML"
lappis-unb,chef-lappis,gabrielssilva,1,{'2016-11': 1},0,0,0,"Ruby, Shell, HTML"
lappis-unb,chef-lappis,luanguimaraesla,1,{'2017-09': 1},0,0,0,"Ruby, Shell, HTML"
lappis-unb,chef-lappis,navarrovmn,1,{'2017-07': 1},0,27,0,"Ruby, Shell, HTML"
lappis-unb,cs-server,fabiommendes,36,"{'2017-04': 8, '2017-03': 28}",0,0,0,"JavaScript, Python, CSS, HTML, Nginx, C"
lappis-unb,radar-lappis,fabiommendes,2,{'2017-07': 2},0,0,0,
lappis-unb,radar-lappis,RochaCarla,2,{'2017-08': 2},0,0,0,
lappis-unb,cs-front,fabio1079,13,"{'2017-09': 2, '2017-08': 11}",0,1,1,"Elm, CSS, JavaScript, HTML"
lappis-unb,EcossistemasSWLivre,RochaCarla,82,"{'2019-11': 7, '2019-10': 16, '2019-09': 10, '2019-08': 1, '2019-07': 9, '2019-06': 1, '2019-04': 3, '2018-12': 1, '2018-10': 2, '2018-08': 2, '2018-07': 2, '2018-05': 6, '2018-04': 10, '2018-01': 8, '2017-10': 4}",3,24,0,"TeX, Jupyter Notebook, CSS, JavaScript, Makefile, Python, Shell"
lappis-unb,EcossistemasSWLivre,joenio,38,"{'2019-10': 3, '2019-09': 4, '2019-07': 2, '2018-12': 2, '2018-08': 3, '2018-06': 4, '2018-05': 12, '2018-04': 2, '2018-02': 2, '2018-01': 4}",0,34,0,"TeX, Jupyter Notebook, CSS, JavaScript, Makefile, Python, Shell"
lappis-unb,EcossistemasSWLivre,ricardopoppi,11,"{'2020-01': 1, '2019-12': 5, '2019-07': 4, '2019-04': 1}",0,9,0,"TeX, Jupyter Notebook, CSS, JavaScript, Makefile, Python, Shell"
lappis-unb,EcossistemasSWLivre,joaaogui,9,"{'2019-10': 1, '2019-09': 5, '2017-10': 3}",0,0,0,"TeX, Jupyter Notebook, CSS, JavaScript, Makefile, Python, Shell"
lappis-unb,EcossistemasSWLivre,fabiommendes,8,"{'2019-11': 4, '2017-10': 4}",0,0,0,"TeX, Jupyter Notebook, CSS, JavaScript, Makefile, Python, Shell"
lappis-unb,EcossistemasSWLivre,renatocoral,6,{'2019-10': 6},3,3,0,"TeX, Jupyter Notebook, CSS, JavaScript, Makefile, Python, Shell"
lappis-unb,EcossistemasSWLivre,guilacerda,5,"{'2019-10': 2, '2019-07': 3}",2,2,0,"TeX, Jupyter Notebook, CSS, JavaScript, Makefile, Python, Shell"
