user,contributions,repositories,primary_language,monthly_contributions,contribution_types
User,1,11,C,"{'2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 1, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 1, 'pull_requests': 0, 'issues': 0, 'reviews': 0}"
Juhvitoria4,69,9,Python,"{'2023-06': 5, '2023-07': 2, '2023-08': 9, '2023-09': 10, '2023-10': 10, '2023-11': 16, '2023-12': 17, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 56, 'pull_requests': 3, 'issues': 10, 'reviews': 0}"
LucasLopesFrazao,2157,18,Java,"{'2023-06': 126, '2023-07': 90, '2023-08': 127, '2023-09': 122, '2023-10': 151, '2023-11': 195, '2023-12': 194, '2024-01': 308, '2024-02': 240, '2024-03': 158, '2024-04': 206, '2024-05': 240, '2024-06': 0}","{'commits': 128, 'pull_requests': 8, 'issues': 23, 'reviews': 8}"
thiagompc,458,45,Python,"{'2023-06': 73, '2023-07': 36, '2023-08': 0, '2023-09': 1, '2023-10': 15, '2023-11': 3, '2023-12': 35, '2024-01': 28, '2024-02': 53, '2024-03': 72, '2024-04': 47, '2024-05': 95, '2024-06': 0}","{'commits': 90, 'pull_requests': 3, 'issues': 0, 'reviews': 33}"
senaarth,614,38,TypeScript,"{'2023-06': 146, '2023-07': 189, '2023-08': 99, '2023-09': 10, '2023-10': 27, '2023-11': 20, '2023-12': 22, '2024-01': 4, '2024-02': 33, '2024-03': 19, '2024-04': 17, '2024-05': 24, '2024-06': 4}","{'commits': 255, 'pull_requests': 6, 'issues': 3, 'reviews': 26}"
flaviovl,63,46,Python,"{'2023-06': 2, '2023-07': 18, '2023-08': 0, '2023-09': 13, '2023-10': 0, '2023-11': 26, '2023-12': 0, '2024-01': 4, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 61, 'pull_requests': 0, 'issues': 0, 'reviews': 0}"
larigs,259,14,C#,"{'2023-06': 58, '2023-07': 27, '2023-08': 0, '2023-09': 47, '2023-10': 17, '2023-11': 15, '2023-12': 95, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 212, 'pull_requests': 35, 'issues': 11, 'reviews': 0}"
AngellusMortis,1918,15,Python,"{'2023-06': 367, '2023-07': 576, '2023-08': 213, '2023-09': 261, '2023-10': 65, '2023-11': 252, '2023-12': 29, '2024-01': 46, '2024-02': 37, '2024-03': 61, '2024-04': 5, '2024-05': 6, '2024-06': 0}","{'commits': 30, 'pull_requests': 48, 'issues': 39, 'reviews': 15}"
Gabrielle-Ribeiro,164,90,Python,"{'2023-06': 18, '2023-07': 21, '2023-08': 0, '2023-09': 11, '2023-10': 18, '2023-11': 0, '2023-12': 85, '2024-01': 0, '2024-02': 0, '2024-03': 9, '2024-04': 0, '2024-05': 2, '2024-06': 0}","{'commits': 114, 'pull_requests': 16, 'issues': 2, 'reviews': 4}"
analufernanndess,141,16,Python,"{'2023-06': 53, '2023-07': 79, '2023-08': 1, '2023-09': 0, '2023-10': 0, '2023-11': 2, '2023-12': 2, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 4, '2024-06': 0}","{'commits': 136, 'pull_requests': 2, 'issues': 0, 'reviews': 0}"
ingridSCarvalho,37,20,JavaScript,"{'2023-06': 10, '2023-07': 5, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 11, '2024-01': 0, '2024-02': 0, '2024-03': 1, '2024-04': 0, '2024-05': 10, '2024-06': 0}","{'commits': 33, 'pull_requests': 1, 'issues': 0, 'reviews': 2}"
SamButers,173,53,JavaScript,"{'2023-06': 14, '2023-07': 13, '2023-08': 129, '2023-09': 0, '2023-10': 1, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 16, '2024-05': 0, '2024-06': 0}","{'commits': 0, 'pull_requests': 0, 'issues': 1, 'reviews': 0}"
CauaMatheus,540,10,JavaScript,"{'2023-06': 12, '2023-07': 14, '2023-08': 48, '2023-09': 24, '2023-10': 2, '2023-11': 33, '2023-12': 91, '2024-01': 64, '2024-02': 112, '2024-03': 89, '2024-04': 48, '2024-05': 3, '2024-06': 0}","{'commits': 89, 'pull_requests': 17, 'issues': 0, 'reviews': 0}"
jbouwh,2155,29,Python,"{'2023-06': 193, '2023-07': 158, '2023-08': 115, '2023-09': 243, '2023-10': 196, '2023-11': 157, '2023-12': 201, '2024-01': 190, '2024-02': 85, '2024-03': 236, '2024-04': 175, '2024-05': 206, '2024-06': 0}","{'commits': 698, 'pull_requests': 643, 'issues': 3, 'reviews': 798}"
SamuelRicardoDS,282,23,TypeScript,"{'2023-06': 18, '2023-07': 27, '2023-08': 32, '2023-09': 23, '2023-10': 6, '2023-11': 46, '2023-12': 28, '2024-01': 12, '2024-02': 0, '2024-03': 9, '2024-04': 38, '2024-05': 43, '2024-06': 0}","{'commits': 156, 'pull_requests': 31, 'issues': 5, 'reviews': 0}"
brenoalexandre0,1080,14,Python,"{'2023-06': 38, '2023-07': 91, '2023-08': 32, '2023-09': 33, '2023-10': 58, '2023-11': 69, '2023-12': 64, '2024-01': 60, '2024-02': 52, '2024-03': 76, '2024-04': 178, '2024-05': 322, '2024-06': 7}","{'commits': 1064, 'pull_requests': 1, 'issues': 12, 'reviews': 0}"
puddly,783,91,Python,"{'2023-06': 82, '2023-07': 57, '2023-08': 47, '2023-09': 82, '2023-10': 54, '2023-11': 57, '2023-12': 95, '2024-01': 73, '2024-02': 63, '2024-03': 32, '2024-04': 43, '2024-05': 97, '2024-06': 1}","{'commits': 372, 'pull_requests': 296, 'issues': 7, 'reviews': 92}"
Joao-Moura,2222,42,Python,"{'2023-06': 150, '2023-07': 147, '2023-08': 148, '2023-09': 84, '2023-10': 131, '2023-11': 249, '2023-12': 149, '2024-01': 198, '2024-02': 238, '2024-03': 243, '2024-04': 275, '2024-05': 208, '2024-06': 2}","{'commits': 78, 'pull_requests': 9, 'issues': 0, 'reviews': 0}"
Jlmsousa,39,3,C,"{'2023-06': 1, '2023-07': 5, '2023-08': 0, '2023-09': 5, '2023-10': 4, '2023-11': 18, '2023-12': 4, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 2, '2024-05': 0, '2024-06': 0}","{'commits': 39, 'pull_requests': 0, 'issues': 0, 'reviews': 0}"
oCaioOliveira,229,71,Python,"{'2023-06': 10, '2023-07': 20, '2023-08': 8, '2023-09': 12, '2023-10': 11, '2023-11': 91, '2023-12': 58, '2024-01': 10, '2024-02': 2, '2024-03': 2, '2024-04': 0, '2024-05': 5, '2024-06': 0}","{'commits': 196, 'pull_requests': 12, 'issues': 9, 'reviews': 3}"
soaresrlucas,31,13,C,"{'2023-06': 23, '2023-07': 0, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 6, '2024-02': 0, '2024-03': 2, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 20, 'pull_requests': 5, 'issues': 0, 'reviews': 1}"
ThiagoGMF,10,24,TypeScript,"{'2023-06': 5, '2023-07': 5, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 9, 'pull_requests': 0, 'issues': 0, 'reviews': 0}"
Juan-Ricarte,250,11,HTML,"{'2023-06': 24, '2023-07': 32, '2023-08': 4, '2023-09': 53, '2023-10': 42, '2023-11': 58, '2023-12': 22, '2024-01': 14, '2024-02': 0, '2024-03': 1, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 229, 'pull_requests': 4, 'issues': 7, 'reviews': 2}"
AnaKarolinyCavalcanti,55,6,Java,"{'2023-06': 24, '2023-07': 13, '2023-08': 0, '2023-09': 1, '2023-10': 12, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 5, '2024-06': 0}","{'commits': 44, 'pull_requests': 2, 'issues': 0, 'reviews': 2}"
dougAlvs,321,17,Java,"{'2023-06': 50, '2023-07': 21, '2023-08': 2, '2023-09': 67, '2023-10': 65, '2023-11': 35, '2023-12': 33, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 26, '2024-05': 22, '2024-06': 0}","{'commits': 231, 'pull_requests': 22, 'issues': 19, 'reviews': 26}"
juliassmendonca,7,4,Java,"{'2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 7, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 6, 'pull_requests': 0, 'issues': 0, 'reviews': 0}"
