user,contributions,repositories,primary_language,monthly_contributions,contribution_types
davidCarlos,22,24,Python,"{'2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 1, '2023-10': 5, '2023-11': 0, '2023-12': 6, '2024-01': 3, '2024-02': 1, '2024-03': 2, '2024-04': 1, '2024-05': 3, '2024-06': 0}","{'commits': 22, 'pull_requests': 0, 'issues': 0, 'reviews': 0}"
StrangeUnit28,278,15,Python,"{'2023-06': 105, '2023-07': 57, '2023-08': 1, '2023-09': 60, '2023-10': 26, '2023-11': 22, '2023-12': 7, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 207, 'pull_requests': 20, 'issues': 23, 'reviews': 28}"
MaiconMares,441,41,JavaScript,"{'2023-06': 34, '2023-07': 74, '2023-08': 30, '2023-09': 28, '2023-10': 103, '2023-11': 24, '2023-12': 6, '2024-01': 70, '2024-02': 20, '2024-03': 17, '2024-04': 9, '2024-05': 13, '2024-06': 13}","{'commits': 106, 'pull_requests': 16, 'issues': 4, 'reviews': 7}"
PauloGoncalvesLima,202,26,Python,"{'2023-06': 39, '2023-07': 34, '2023-08': 4, '2023-09': 14, '2023-10': 30, '2023-11': 41, '2023-12': 30, '2024-01': 9, '2024-02': 0, '2024-03': 1, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 79, 'pull_requests': 2, 'issues': 1, 'reviews': 0}"
guilhermedfs,316,64,Swift,"{'2023-06': 52, '2023-07': 15, '2023-08': 6, '2023-09': 52, '2023-10': 117, '2023-11': 31, '2023-12': 9, '2024-01': 0, '2024-02': 7, '2024-03': 0, '2024-04': 13, '2024-05': 12, '2024-06': 2}","{'commits': 170, 'pull_requests': 33, 'issues': 77, 'reviews': 29}"
Bruno-Felix,358,32,JavaScript,"{'2023-06': 58, '2023-07': 46, '2023-08': 44, '2023-09': 27, '2023-10': 17, '2023-11': 31, '2023-12': 36, '2024-01': 0, '2024-02': 5, '2024-03': 32, '2024-04': 19, '2024-05': 43, '2024-06': 0}","{'commits': 81, 'pull_requests': 1, 'issues': 34, 'reviews': 0}"
GeovaneSFT,94,20,Python,"{'2023-06': 1, '2023-07': 2, '2023-08': 4, '2023-09': 17, '2023-10': 9, '2023-11': 15, '2023-12': 23, '2024-01': 1, '2024-02': 1, '2024-03': 6, '2024-04': 2, '2024-05': 13, '2024-06': 0}","{'commits': 44, 'pull_requests': 3, 'issues': 2, 'reviews': 1}"
ferblape,4667,167,Ruby,"{'2023-06': 599, '2023-07': 433, '2023-08': 323, '2023-09': 500, '2023-10': 345, '2023-11': 390, '2023-12': 289, '2024-01': 363, '2024-02': 408, '2024-03': 317, '2024-04': 260, '2024-05': 440, '2024-06': 0}","{'commits': 1821, 'pull_requests': 52, 'issues': 9, 'reviews': 54}"
GustavoHenriqueRS,188,20,TypeScript,"{'2023-06': 56, '2023-07': 44, '2023-08': 6, '2023-09': 18, '2023-10': 2, '2023-11': 26, '2023-12': 11, '2024-01': 0, '2024-02': 0, '2024-03': 1, '2024-04': 20, '2024-05': 4, '2024-06': 0}","{'commits': 61, 'pull_requests': 5, 'issues': 0, 'reviews': 0}"
VictorJorgeFGA,30,35,Python,"{'2023-06': 0, '2023-07': 2, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 2, '2024-01': 17, '2024-02': 0, '2024-03': 8, '2024-04': 1, '2024-05': 0, '2024-06': 0}","{'commits': 16, 'pull_requests': 2, 'issues': 8, 'reviews': 0}"
ericbky,184,12,HTML,"{'2023-06': 2, '2023-07': 37, '2023-08': 16, '2023-09': 12, '2023-10': 9, '2023-11': 0, '2023-12': 2, '2024-01': 0, '2024-02': 0, '2024-03': 44, '2024-04': 26, '2024-05': 36, '2024-06': 0}","{'commits': 170, 'pull_requests': 11, 'issues': 1, 'reviews': 0}"
vitorbellini,84,18,Python,"{'2023-06': 1, '2023-07': 2, '2023-08': 4, '2023-09': 0, '2023-10': 0, '2023-11': 22, '2023-12': 3, '2024-01': 7, '2024-02': 7, '2024-03': 1, '2024-04': 35, '2024-05': 2, '2024-06': 0}","{'commits': 64, 'pull_requests': 11, 'issues': 7, 'reviews': 0}"
Joao-amoedo,0,6,Java,"{'2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 0, 'pull_requests': 0, 'issues': 0, 'reviews': 0}"
andreozzi,11,10,Java,"{'2023-06': 2, '2023-07': 7, '2023-08': 0, '2023-09': 0, '2023-10': 2, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 11, 'pull_requests': 0, 'issues': 0, 'reviews': 0}"
Thais-ra,66,36,Python,"{'2023-06': 20, '2023-07': 3, '2023-08': 0, '2023-09': 2, '2023-10': 0, '2023-11': 13, '2023-12': 28, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 66, 'pull_requests': 0, 'issues': 0, 'reviews': 0}"
