org,repo,user,commits,commit_history,pull_requests,issues,reviews,languages
lappis-unb,noosfero,terceiro,3811,"{'2016-02': 18, '2016-01': 43, '2015-12': 19, '2015-11': 57, '2015-10': 30, '2015-09': 24, '2015-08': 30, '2015-07': 29, '2015-01': 53, '2015-06': 12, '2015-05': 13, '2015-02': 39, '2015-04': 14, '2015-03': 35, '2014-11': 48, '2014-07': 28, '2014-12': 24, '2014-10': 40, '2014-09': 63, '2014-08': 61, '2014-06': 1, '2014-05': 4, '2014-04': 2, '2014-02': 2, '2013-11': 2, '2013-09': 7, '2013-10': 1, '2013-08': 11, '2013-07': 19, '2013-06': 13, '2013-05': 4, '2013-02': 1, '2013-01': 5, '2012-12': 46, '2012-10': 8, '2012-09': 14, '2012-08': 70, '2012-07': 27, '2012-06': 5, '2012-05': 22, '2012-04': 1, '2012-03': 41, '2012-02': 22, '2012-01': 28, '2011-12': 51, '2011-11': 11, '2011-08': 25, '2011-09': 1, '2011-05': 2, '2011-03': 1, '2011-02': 37, '2011-01': 17, '2010-12': 50, '2010-11': 9, '2010-10': 29, '2010-09': 50, '2010-08': 81, '2010-07': 14, '2010-06': 6, '2010-05': 26, '2010-04': 62, '2010-03': 29, '2010-02': 48, '2010-01': 38, '2009-12': 48, '2009-11': 24, '2009-10': 22, '2009-09': 46, '2009-08': 68, '2009-07': 57, '2009-05': 128, '2009-06': 9, '2009-04': 56, '2009-03': 54, '2009-02': 26, '2009-01': 52, '2008-12': 54, '2008-11': 7, '2008-10': 10, '2008-09': 67, '2008-08': 19, '2008-07': 99, '2008-06': 128, '2008-05': 26, '2008-04': 58, '2008-03': 40, '2008-02': 217, '2008-01': 88, '2007-12': 141, '2007-11': 128, '2007-10': 121, '2007-09': 154, '2007-08': 64, '2007-07': 170, '2007-06': 7}",0,0,0,"JavaScript, Ruby, HTML, CSS, Gherkin, Shell, PHP, Perl, ApacheConf, Makefile"
lappis-unb,noosfero,diguliu,2037,"{'2017-07': 13, '2017-06': 23, '2017-05': 22, '2017-04': 15, '2017-01': 31, '2016-11': 8, '2017-02': 17, '2017-03': 10, '2016-12': 7, '2016-10': 8, '2016-09': 12, '2016-08': 18, '2016-06': 3, '2016-05': 4, '2016-04': 8, '2016-03': 21, '2016-02': 13, '2016-01': 6, '2015-12': 4, '2015-11': 3, '2015-10': 3, '2015-09': 27, '2015-08': 6, '2015-07': 9, '2015-06': 27, '2015-04': 14, '2015-05': 18, '2014-09': 4, '2015-03': 4, '2015-02': 28, '2015-01': 33, '2014-12': 11, '2014-11': 15, '2014-10': 11, '2014-08': 27, '2014-07': 104, '2014-06': 57, '2014-04': 82, '2014-05': 87, '2014-03': 54, '2014-02': 29, '2014-01': 84, '2013-12': 51, '2013-11': 36, '2013-10': 60, '2013-09': 97, '2013-08': 49, '2013-07': 106, '2013-06': 12, '2013-05': 55, '2013-04': 46, '2013-03': 70, '2013-02': 18, '2013-01': 42, '2012-12': 18, '2012-11': 18, '2012-10': 39, '2012-09': 13, '2012-08': 27, '2012-07': 23, '2012-05': 18, '2012-03': 15, '2012-04': 2, '2012-02': 5, '2011-11': 6, '2011-10': 9, '2011-06': 15, '2011-09': 4, '2011-08': 15, '2011-07': 3, '2011-05': 36, '2011-04': 26, '2011-03': 5, '2011-02': 12, '2011-01': 7, '2010-12': 1, '2010-10': 1, '2010-09': 6, '2010-08': 30, '2010-07': 4, '2010-06': 3, '2010-05': 6, '2010-04': 11, '2010-03': 8, '2010-02': 8, '2010-01': 8, '2009-12': 7, '2009-11': 4, '2008-07': 2}",0,0,0,"JavaScript, Ruby, HTML, CSS, Gherkin, Shell, PHP, Perl, ApacheConf, Makefile"
lappis-unb,noosfero,danielafeitosa,1149,"{'2016-08': 2, '2016-07': 5, '2016-06': 3, '2016-05': 2, '2016-04': 5, '2016-03': 1, '2016-01': 2, '2015-12': 5, '2015-11': 5, '2015-10': 12, '2015-09': 9, '2015-08': 7, '2015-05': 3, '2015-04': 9, '2015-03': 3, '2015-02': 6, '2015-01': 6, '2014-12': 8, '2014-11': 2, '2014-10': 10, '2014-09': 3, '2014-08': 7, '2014-07': 15, '2014-06': 10, '2014-04': 12, '2014-05': 5, '2014-03': 44, '2014-02': 6, '2014-01': 21, '2013-12': 6, '2013-11': 29, '2013-08': 2, '2013-07': 3, '2013-06': 4, '2013-05': 6, '2013-04': 1, '2013-03': 9, '2013-02': 13, '2013-01': 3, '2012-12': 36, '2012-11': 48, '2012-10': 32, '2012-09': 3, '2012-08': 51, '2012-07': 40, '2012-06': 15, '2012-05': 26, '2012-04': 38, '2012-03': 22, '2012-02': 35, '2012-01': 46, '2011-12': 39, '2011-10': 1, '2011-08': 42, '2011-05': 24, '2011-07': 8, '2011-06': 6, '2011-04': 12, '2011-03': 23, '2011-02': 32, '2011-01': 17, '2010-12': 7, '2010-11': 4, '2010-10': 5, '2010-09': 16, '2010-08': 12, '2010-07': 5, '2010-06': 1, '2010-05': 9, '2010-04': 10, '2010-03': 6, '2010-02': 5, '2010-01': 2, '2009-12': 5, '2009-11': 9, '2009-10': 12, '2009-09': 12, '2009-08': 17, '2009-07': 8, '2009-06': 14, '2009-05': 22, '2009-04': 3, '2009-03': 7, '2009-02': 7, '2009-01': 2, '2008-12': 10, '2008-11': 4, '2008-10': 8, '2008-09': 8, '2007-07': 19}",0,0,0,"JavaScript, Ruby, HTML, CSS, Gherkin, Shell, PHP, Perl, ApacheConf, Makefile"
lappis-unb,noosfero,brauliobo,967,"{'2015-05': 8, '2017-05': 22, '2017-04': 9, '2017-03': 36, '2016-09': 5, '2016-01': 2, '2016-08': 2, '2016-07': 4, '2016-06': 13, '2016-05': 52, '2016-04': 38, '2016-03': 24, '2016-02': 13, '2015-01': 14, '2012-10': 3, '2014-11': 9, '2015-12': 10, '2015-11': 13, '2014-10': 15, '2015-10': 19, '2015-09': 51, '2015-08': 52, '2015-03': 49, '2015-02': 61, '2015-06': 45, '2015-04': 42, '2015-07': 47, '2014-09': 26, '2014-06': 9, '2014-03': 11, '2014-05': 6, '2014-02': 11, '2014-01': 3, '2013-12': 4, '2013-09': 7, '2013-02': 1, '2012-08': 9, '2013-10': 6, '2013-11': 9, '2014-07': 7, '2014-08': 2, '2014-04': 11, '2013-08': 6, '2013-07': 10, '2013-05': 8, '2013-04': 4, '2013-03': 2, '2012-12': 5, '2012-09': 7, '2012-07': 4, '2012-06': 1, '2012-05': 12, '2012-04': 11, '2012-02': 5, '2012-01': 2, '2011-10': 3, '2011-09': 18, '2011-08': 28, '2011-07': 19, '2011-06': 13, '2011-05': 9, '2011-12': 7, '2011-04': 12, '2010-08': 1}",0,0,0,"JavaScript, Ruby, HTML, CSS, Gherkin, Shell, PHP, Perl, ApacheConf, Makefile"
lappis-unb,noosfero,leandronunes,822,"{'2017-07': 7, '2017-06': 17, '2017-04': 29, '2017-03': 12, '2017-05': 17, '2017-02': 23, '2017-01': 3, '2016-12': 14, '2016-11': 4, '2016-10': 1, '2016-09': 13, '2016-08': 19, '2016-05': 52, '2016-07': 41, '2016-04': 18, '2016-03': 12, '2016-02': 3, '2015-12': 14, '2015-11': 8, '2015-10': 4, '2015-09': 2, '2015-08': 9, '2015-07': 19, '2015-06': 11, '2015-05': 11, '2015-04': 20, '2015-03': 66, '2014-05': 26, '2014-04': 51, '2014-08': 10, '2015-02': 3, '2015-01': 14, '2014-07': 1, '2014-06': 10, '2014-01': 7, '2013-11': 18, '2013-10': 3, '2013-08': 14, '2013-07': 32, '2013-06': 3, '2013-04': 3, '2013-03': 11, '2013-02': 5, '2013-01': 8, '2012-12': 2, '2012-09': 1, '2012-01': 2, '2011-11': 2, '2011-01': 2, '2010-12': 3, '2010-10': 2, '2010-09': 3, '2010-08': 2, '2010-07': 5, '2010-06': 3, '2010-05': 2, '2010-04': 2, '2010-01': 1, '2009-06': 11, '2007-11': 10, '2007-10': 43, '2007-09': 1, '2007-08': 8, '2007-07': 49}",0,0,0,"JavaScript, Ruby, HTML, CSS, Gherkin, Shell, PHP, Perl, ApacheConf, Makefile"
lappis-unb,noosfero,vfcosta,799,"{'2017-07': 2, '2017-06': 3, '2017-05': 14, '2017-04': 15, '2017-03': 14, '2017-02': 15, '2017-01': 5, '2016-12': 14, '2016-11': 7, '2016-10': 2, '2016-09': 2, '2016-08': 12, '2016-07': 14, '2016-06': 8, '2016-05': 44, '2016-04': 14, '2014-11': 12, '2014-10': 16, '2015-06': 9, '2014-12': 11, '2016-03': 2, '2015-11': 2, '2015-07': 4, '2016-02': 7, '2015-04': 55, '2015-01': 22, '2016-01': 4, '2015-12': 8, '2015-03': 14, '2015-09': 1, '2015-08': 2, '2015-05': 19, '2015-02': 10, '2014-06': 18, '2014-05': 33, '2014-03': 27, '2014-08': 36, '2014-09': 2, '2014-07': 44, '2014-04': 5, '2014-01': 91, '2014-02': 62, '2013-12': 28, '2013-07': 2, '2013-06': 2, '2013-11': 42, '2013-08': 1, '2013-10': 6, '2013-05': 7, '2013-04': 1, '2013-03': 6, '2013-02': 3}",0,0,0,"JavaScript, Ruby, HTML, CSS, Gherkin, Shell, PHP, Perl, ApacheConf, Makefile"
lappis-unb,noosfero,joenio,719,"{'2016-08': 1, '2016-07': 3, '2016-05': 12, '2016-04': 6, '2016-03': 10, '2016-01': 5, '2015-11': 6, '2015-12': 2, '2015-09': 3, '2015-07': 4, '2015-06': 3, '2015-05': 2, '2015-02': 1, '2014-09': 1, '2014-08': 9, '2014-07': 1, '2014-06': 26, '2014-04': 15, '2014-03': 28, '2014-01': 19, '2013-12': 1, '2012-11': 1, '2012-08': 3, '2012-10': 1, '2012-07': 1, '2012-04': 1, '2012-03': 3, '2012-01': 2, '2011-12': 6, '2011-11': 12, '2011-10': 29, '2011-09': 5, '2011-08': 7, '2011-07': 5, '2011-05': 24, '2011-04': 13, '2011-03': 26, '2011-02': 35, '2011-01': 10, '2010-12': 1, '2010-10': 7, '2010-09': 8, '2010-08': 10, '2010-07': 26, '2010-06': 7, '2010-05': 10, '2010-04': 1, '2010-02': 3, '2010-01': 4, '2009-12': 2, '2009-11': 5, '2009-10': 5, '2009-09': 1, '2009-08': 4, '2009-07': 11, '2009-06': 7, '2009-04': 6, '2009-03': 2, '2009-02': 2, '2009-01': 4, '2008-12': 27, '2008-11': 8, '2008-10': 1, '2008-09': 5, '2008-07': 48, '2008-06': 73, '2008-05': 36, '2008-04': 40, '2008-03': 13}",0,0,0,"JavaScript, Ruby, HTML, CSS, Gherkin, Shell, PHP, Perl, ApacheConf, Makefile"
lappis-unb,noosfero,moisesmachado,447,"{'2009-09': 5, '2009-08': 10, '2009-07': 8, '2009-06': 6, '2009-05': 7, '2009-04': 2, '2009-03': 5, '2009-02': 8, '2009-01': 8, '2008-10': 6, '2008-09': 35, '2008-08': 24, '2008-07': 61, '2008-06': 34, '2008-05': 16, '2008-04': 20, '2008-03': 10, '2008-02': 14, '2008-01': 11, '2007-12': 19, '2007-11': 14, '2007-10': 37, '2007-09': 23, '2007-08': 20, '2007-07': 44}",0,0,0,"JavaScript, Ruby, HTML, CSS, Gherkin, Shell, PHP, Perl, ApacheConf, Makefile"
lappis-unb,noosfero,jaodsilv,215,"{'2013-01': 35, '2012-12': 12, '2012-11': 51, '2012-10': 8, '2012-09': 12, '2012-08': 35, '2012-07': 15, '2012-06': 8, '2012-05': 18, '2012-04': 8, '2012-03': 2, '2012-02': 4, '2012-01': 5, '2011-12': 2}",0,0,0,"JavaScript, Ruby, HTML, CSS, Gherkin, Shell, PHP, Perl, ApacheConf, Makefile"
lappis-unb,noosfero,weblate,197,"{'2017-03': 1, '2017-01': 2, '2016-12': 2, '2016-08': 3, '2016-06': 3, '2016-05': 1, '2016-04': 1, '2016-03': 1, '2016-02': 1, '2016-01': 5, '2015-12': 1, '2015-07': 3, '2015-06': 3, '2015-03': 15, '2015-02': 73, '2015-01': 54, '2014-12': 16, '2014-11': 11, '2014-10': 1}",0,0,0,"JavaScript, Ruby, HTML, CSS, Gherkin, Shell, PHP, Perl, ApacheConf, Makefile"
